Date,Open,High,Low,Close,Volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2020-10-01 00:00:00,10776.59,10826.19,10776.59,10811.29,536.915558,1601510699999,5799183.88918625,5488,329.855519,3562927.49465762,0
2020-10-01 00:05:00,10811.29,10825.16,10808.22,10812.83,285.343181,1601510999999,3086428.42687157,3399,133.235543,1441079.71261599,0
2020-10-01 00:10:00,10812.84,10816.17,10805.48,10807.29,252.24551,1601511299999,2726677.74381842,1966,85.042414,919256.60493893,0
2020-10-01 00:15:00,10807.29,10815.74,10795.9,10802.23,190.005444,1601511599999,2052948.28750758,2476,82.127041,887365.17281598,0
2020-10-01 00:20:00,10802.24,10817.06,10797.43,10817.05,83.004746,1601511899999,897017.70128653,1574,45.253603,489073.23451882,0
2020-10-01 00:25:00,10817.06,10817.25,10795.95,10797.43,132.386714,1601512199999,1430829.91282368,1929,34.531794,373090.71687766,0
2020-10-01 00:30:00,10797.44,10808.11,10794.71,10796.62,172.382226,1601512499999,1861794.98620019,2190,91.612644,989481.62158576,0
2020-10-01 00:35:00,10796.61,10799.61,10786.48,10790.42,126.608205,1601512799999,1366275.8728416,2102,57.354531,618974.97019747,0
2020-10-01 00:40:00,10790.43,10796.43,10787.3,10793.43,114.585641,1601513099999,1236597.50316809,1745,55.446446,598398.20293284,0
2020-10-01 00:45:00,10793.42,10798.13,10788.94,10792.65,92.214286,1601513399999,995185.22304136,1416,53.316517,575369.37165798,0
2020-10-01 00:50:00,10792.65,10796.52,10790.35,10795.04,54.947647,1601513699999,593085.6759283,1113,24.024628,259323.7669419,0
2020-10-01 00:55:00,10795.04,10796.03,10780.09,10788.06,88.120373,1601513999999,950680.62789556,1391,40.098635,432577.51933623,0
2020-10-01 01:00:00,10788.3,10797.59,10786.74,10787.82,119.860324,1601514299999,1293573.71641829,2004,65.66699,708703.01687272,0
2020-10-01 01:05:00,10787.82,10804.65,10786.82,10795.71,105.364278,1601514599999,1137697.20967159,1891,47.545325,513244.21794911,0
2020-10-01 01:10:00,10795.72,10805.58,10795.65,10804.6,119.024939,1601514899999,1285750.30061493,1800,53.784216,581009.4881433,0
2020-10-01 01:15:00,10804.6,10806.0,10798.07,10805.86,80.543449,1601515199999,870125.36509153,1251,57.842678,624887.71567656,0
2020-10-01 01:20:00,10805.87,10811.09,10801.6,10807.02,79.3749,1601515499999,857809.02044116,1523,49.167989,531364.87145437,0
2020-10-01 01:25:00,10806.63,10807.53,10798.89,10801.0,110.456167,1601515799999,1193255.90759365,1505,53.637639,579448.36461985,0
2020-10-01 01:30:00,10801.19,10810.05,10801.19,10805.79,89.63643,1601516099999,968725.53094902,1540,44.680219,482866.02968833,0
2020-10-01 01:35:00,10806.22,10815.3,10806.21,10810.81,90.619938,1601516399999,979837.1398641,1457,36.194469,391343.4924255,0
2020-10-01 01:40:00,10810.81,10818.68,10810.8,10816.74,99.314533,1601516699999,1074124.57002154,1184,46.940957,507660.80673945,0
2020-10-01 01:45:00,10816.53,10832.45,10814.75,10829.02,197.60949,1601516999999,2138780.45368999,1877,95.344402,1031901.73748977,0
2020-10-01 01:50:00,10829.02,10839.52,10824.64,10839.4,193.322005,1601517299999,2094136.62207649,2571,108.910932,1179745.64167638,0
2020-10-01 01:55:00,10839.4,10849.97,10831.69,10838.88,319.003107,1601517599999,3458261.2121101,3082,147.469318,1598642.69618488,0
2020-10-01 02:00:00,10838.89,10857.47,10835.47,10837.77,335.811944,1601517899999,3642575.65443206,3531,186.947911,2028050.04042687,0
2020-10-01 02:05:00,10837.78,10840.87,10816.22,10819.99,200.043791,1601518199999,2166153.04075372,2274,64.008127,693008.70050123,0
2020-10-01 02:10:00,10819.91,10824.54,10817.79,10819.73,80.529711,1601518499999,871479.30471,1331,36.984446,400259.88814382,0
2020-10-01 02:15:00,10819.58,10822.58,10811.8,10822.01,76.623609,1601518799999,828849.35907987,1369,47.892209,518059.68148424,0
2020-10-01 02:20:00,10822.01,10823.68,10813.64,10816.96,82.444296,1601519099999,891902.053849,1261,36.99077,400185.10843837,0
2020-10-01 02:25:00,10816.96,10821.3,10812.41,10814.56,93.863436,1601519399999,1015340.74423442,1317,20.967566,226806.33407656,0
2020-10-01 02:30:00,10814.56,10825.47,10814.56,10824.45,50.213178,1601519699999,543279.10423565,1098,29.293313,316913.33934023,0
2020-10-01 02:35:00,10824.45,10824.74,10815.54,10817.0,80.589657,1601519999999,871856.97723045,1307,36.062268,390121.28181498,0
2020-10-01 02:40:00,10817.0,10833.69,10816.99,10828.42,69.499873,1601520299999,752411.1417941,1266,40.308458,436347.20475102,0
2020-10-01 02:45:00,10828.43,10829.43,10810.58,10810.58,54.410449,1601520599999,588734.43173669,1551,22.738544,246047.41880999,0
2020-10-01 02:50:00,10810.59,10813.78,10807.39,10810.49,92.251223,1601520899999,997341.20804349,1119,34.75408,375732.88352663,0
2020-10-01 02:55:00,10810.48,10817.14,10810.11,10817.14,52.010567,1601521199999,562415.43719438,925,34.57597,373885.86995748,0
2020-10-01 03:00:00,10817.14,10824.22,10810.42,10812.41,109.783762,1601521499999,1187683.86915687,1697,50.489494,546302.74204069,0
2020-10-01 03:05:00,10812.4,10812.88,10795.87,10799.44,95.428194,1601521799999,1030794.1929752,1497,35.43364,382710.63753346,0
2020-10-01 03:10:00,10799.44,10807.63,10798.51,10800.24,111.986248,1601522099999,1209805.59924726,1381,53.441038,577341.29568363,0
2020-10-01 03:15:00,10800.24,10809.45,10795.87,10802.31,89.433408,1601522399999,966351.05596833,1856,52.953971,572238.66602784,0
2020-10-01 03:20:00,10802.31,10810.33,10802.31,10806.96,42.488974,1601522699999,459158.1522633,943,10.730987,115957.83081679,0
2020-10-01 03:25:00,10806.96,10807.68,10802.41,10803.95,70.968225,1601522999999,766838.46565432,1015,38.870433,420015.97230415,0
2020-10-01 03:30:00,10803.95,10814.58,10800.0,10800.0,92.023437,1601523299999,994720.4426445,1594,35.557488,384328.91416836,0
2020-10-01 03:35:00,10800.01,10800.2,10796.06,10796.39,55.14037,1601523599999,595398.82206403,953,25.357706,273807.89343,0
2020-10-01 03:40:00,10796.38,10805.46,10794.21,10805.37,84.499513,1601523899999,912617.90435309,1533,53.970874,582917.50399401,0
2020-10-01 03:45:00,10805.37,10805.46,10798.54,10801.56,63.391815,1601524199999,684692.60531169,1031,19.384995,209384.39567787,0
2020-10-01 03:50:00,10801.55,10802.46,10789.01,10790.91,42.904864,1601524499999,463233.8765632,769,12.240988,132165.52463457,0
2020-10-01 03:55:00,10790.91,10798.98,10790.91,10798.18,81.550247,1601524799999,880294.95342927,1541,58.86946,635470.36940208,0
2020-10-01 04:00:00,10798.38,10799.9,10796.76,10798.52,67.045144,1601525099999,723996.83381874,1401,35.130854,379362.38151427,0
2020-10-01 04:05:00,10798.53,10811.44,10795.78,10810.01,78.342606,1601525399999,846361.16001625,1254,40.507367,437642.49219939,0
2020-10-01 04:10:00,10810.0,10819.86,10809.3,10819.27,163.231408,1601525699999,1765394.32911294,1558,106.972913,1156902.07631119,0
2020-10-01 04:15:00,10819.25,10826.42,10818.23,10821.38,116.877905,1601525999999,1264862.84042247,1310,55.370946,599193.72331149,0
2020-10-01 04:20:00,10821.38,10823.88,10813.28,10816.76,116.443272,1601526299999,1259661.74372644,1400,34.75932,376030.05055977,0
2020-10-01 04:25:00,10816.76,10819.42,10814.99,10815.54,70.608933,1601526599999,763863.7664579,1015,29.356627,317582.17211643,0
2020-10-01 04:30:00,10815.54,10821.96,10807.72,10809.04,82.653959,1601526899999,893837.17922216,1444,39.317253,425174.73170905,0
2020-10-01 04:35:00,10809.04,10812.75,10805.48,10807.26,62.854898,1601527199999,679366.70739664,1238,21.041903,227433.36700907,0
2020-10-01 04:40:00,10807.26,10811.36,10801.77,10803.09,80.150856,1601527499999,866155.58502044,1245,31.057833,335659.8180503,0
2020-10-01 04:45:00,10803.08,10804.08,10799.92,10800.92,104.486729,1601527799999,1128587.66679494,1298,40.71807,439804.44832527,0
2020-10-01 04:50:00,10800.98,10806.52,10800.0,10802.77,80.22324,1601528099999,866739.93657728,1278,51.586298,557362.97593816,0
2020-10-01 04:55:00,10802.77,10803.34,10800.0,10800.01,59.523008,1601528399999,642948.2071591,863,40.424625,436649.73372351,0
2020-10-01 05:00:00,10800.0,10800.55,10791.06,10793.41,94.316452,1601528699999,1018213.4060097,1556,48.279101,521211.58075193,0
2020-10-01 05:05:00,10793.41,10801.52,10790.85,10800.88,107.691336,1601528999999,1162663.1356597,1373,49.214614,531360.33946295,0
2020-10-01 05:10:00,10800.89,10800.89,10795.64,10796.41,82.601766,1601529299999,891970.07930749,1091,30.442407,328723.51671472,0
2020-10-01 05:15:00,10796.41,10809.98,10796.41,10807.11,123.405452,1601529599999,1333277.63931639,1731,61.113116,660216.77411154,0
2020-10-01 05:20:00,10807.12,10813.53,10806.42,10813.14,97.11156,1601529899999,1049720.62256669,1230,60.746923,656639.19085619,0
2020-10-01 05:25:00,10813.14,10813.15,10804.4,10811.84,76.28537,1601530199999,824596.34995723,1150,29.512114,319025.94794275,0
2020-10-01 05:30:00,10811.85,10819.09,10796.38,10797.96,114.537352,1601530499999,1238426.92679826,1774,37.352979,403826.91072556,0
2020-10-01 05:35:00,10797.96,10809.94,10791.33,10803.78,113.367823,1601530799999,1224659.560242,1799,49.203171,531454.4773315,0
2020-10-01 05:40:00,10803.77,10816.33,10803.77,10815.66,135.039353,1601531099999,1459790.49528908,1966,77.892098,841990.76988503,0
2020-10-01 05:45:00,10815.66,10823.24,10812.84,10822.85,87.986676,1601531399999,951876.17759922,1489,47.880202,517961.04281191,0
2020-10-01 05:50:00,10822.85,10822.86,10818.3,10819.99,91.907521,1601531699999,994456.52071724,1471,41.706703,451262.86499925,0
2020-10-01 05:55:00,10819.99,10826.0,10815.8,10821.07,140.300314,1601531999999,1518249.76294255,2175,62.516009,676508.27995751,0
2020-10-01 06:00:00,10821.07,10838.71,10821.07,10834.5,178.164311,1601532299999,1929887.34117724,2420,85.685745,928133.8027614,0
2020-10-01 06:05:00,10834.5,10839.0,10831.18,10836.7,146.271708,1601532599999,1584928.73168818,1219,86.766537,940208.62015959,0
2020-10-01 06:10:00,10836.7,10840.98,10829.94,10839.58,231.95575,1601532899999,2513562.06465756,2292,84.626707,917073.00103183,0
2020-10-01 06:15:00,10839.57,10839.57,10831.6,10838.5,170.4094,1601533199999,1846567.31684974,1958,79.095342,857108.72310112,0
2020-10-01 06:20:00,10838.36,10844.71,10828.19,10828.19,137.803691,1601533499999,1493458.59988133,1813,63.130813,684184.91757682,0
2020-10-01 06:25:00,10828.2,10828.2,10819.31,10819.51,125.923466,1601533799999,1363006.99665329,1252,60.781246,657882.07378399,0
2020-10-01 06:30:00,10819.1,10824.52,10818.23,10823.57,85.257443,1601534099999,922722.47861609,1588,40.898829,442624.74324796,0
2020-10-01 06:35:00,10823.57,10830.38,10822.0,10824.32,155.143705,1601534399999,1679694.62931717,1709,83.00615,898672.50881679,0
2020-10-01 06:40:00,10824.31,10829.56,10822.05,10824.72,138.049755,1601534699999,1494655.07073737,1975,58.466473,633036.85505537,0
2020-10-01 06:45:00,10824.72,10826.16,10816.24,10817.29,130.887567,1601534999999,1416465.4328487,1691,68.311061,739300.79698127,0
